method,curve_id,curve_family,x,y,x_label,y_label,source,status,notes
blasingame,bl_reD_10_qDd,blasingame_composite,1.05e-08,178.7518063665,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.13e-08,178.6151682047,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.22e-08,178.469065199,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.32e-08,178.312859857,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.42e-08,178.1458743881,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.53e-08,177.9673885435,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.64e-08,177.7766373994,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.77e-08,177.5728090921,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.91e-08,177.3550425149,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.05e-08,177.1224249922,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.21e-08,176.8739899444,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.37e-08,176.6087145645,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.55e-08,176.3255175287,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.74e-08,176.0232567687,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.95e-08,175.7007273354,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.17e-08,175.3566593922,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.4e-08,174.9897163792,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.66e-08,174.5984933964,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.93e-08,174.1815158593,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,4.22e-08,173.7372384916,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,4.54e-08,173.2640447205,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,4.88e-08,172.7602465559,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,5.24e-08,172.2240850361,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,5.63e-08,171.6537313375,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,6.05e-08,171.0472886498,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,6.5e-08,170.4027949309,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,6.98e-08,169.7182266612,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,7.5e-08,168.9915037275,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,8.06e-08,168.2204955712,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,8.66e-08,167.4030287435,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,9.31e-08,166.5368960115,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1e-07,165.6198671608,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.075e-07,164.6497016383,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.156e-07,163.6241631703,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.243e-07,162.5410364796,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.337e-07,161.3981462077,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.438e-07,160.1933781198,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.547e-07,158.9247026402,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.664e-07,157.5902007168,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.791e-07,156.1880919642,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,1.928e-07,154.7167649662,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.076e-07,153.1748095426,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.235e-07,151.5610506965,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.408e-07,149.8745838583,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.594e-07,148.1148109315,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,2.796e-07,146.2814765291,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.014e-07,144.374703666,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.25e-07,142.3950280506,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
blasingame,bl_reD_10_qDd,blasingame_composite,3.506e-07,140.3434300007,tcDd,qDd,blasingame.py implicit FD solver — radial constant-pressure (sin validación cuantitativa),demo,reD=10 series=qDd
