method,curve_id,curve_family,x,y,x_label,y_label,source,status,notes
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0132194115,0.9868675812,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0155567614,0.9845636199,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0183073828,0.9818591793,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0215443469,0.9786860748,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0253536449,0.9749650596,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0298364724,0.9706042412,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0351119173,0.9654973543,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.041320124,0.9595219148,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0486260158,0.952537297,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0572236766,0.9443828094,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0673415066,0.9348758806,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
fetkovich,fetkovich_bdf_b_0_0,arps_bdf,0.0792482898,0.9238105232,tDd,qDd,Fetkovich SPE-4629 1980 Eq.20-21,validated,BDF Arps b=0.0
