pressure_psi,Pb_psi,Rs_scf_per_STB,Bo_bbl_per_STB,mu_o_cP,regimen,is_Pb_point
15.0,560.7424467834246,5.991155730047749,1.10011293538125,6.102009372764003,saturado,False
315.0,560.7424467834246,77.94514067137249,1.131646058304455,3.745490624136329,saturado,False
560.7424467834246,560.7424467834246,150.0,1.1641863648938349,2.723891651173228,saturado,True
615.0,560.7424467834246,150.0,1.1641863648938349,2.7365692224324105,sub-saturado,False
915.0,560.7424467834246,150.0,1.1641863648938349,2.8305304841268573,sub-saturado,False
1215.0,560.7424467834246,150.0,1.1641863648938349,2.9585969402017183,sub-saturado,False
1515.0,560.7424467834246,150.0,1.1641863648938349,3.1156795288718833,sub-saturado,False
1815.0,560.7424467834246,150.0,1.1641863648938349,3.2990373016763956,sub-saturado,False
2115.0,560.7424467834246,150.0,1.1641863648938349,3.5070946078208176,sub-saturado,False
2415.0,560.7424467834246,150.0,1.1641863648938349,3.7389019564711847,sub-saturado,False
2715.0,560.7424467834246,150.0,1.1641863648938349,3.9938511490198656,sub-saturado,False
3015.0,560.7424467834246,150.0,1.1641863648938349,4.271508350599037,sub-saturado,False
3315.0,560.7424467834246,150.0,1.1641863648938349,4.571508366451056,sub-saturado,False
3615.0,560.7424467834246,150.0,1.1641863648938349,4.893483627570084,sub-saturado,False
3915.0,560.7424467834246,150.0,1.1641863648938349,5.23701445568534,sub-saturado,False
4215.0,560.7424467834246,150.0,1.1641863648938349,5.601593375520837,sub-saturado,False
4515.0,560.7424467834246,150.0,1.1641863648938349,5.986599393371821,sub-saturado,False
4815.0,560.7424467834246,150.0,1.1641863648938349,6.391279846324297,sub-saturado,False
