pressure_psi,Pb_psi,Rs_scf_per_STB,Bo_bbl_per_STB,mu_o_cP,regimen,is_Pb_point
500.0,1409.3548370624667,208.68958978877944,1.173203428722469,1.128633235041975,saturado,False
750.0,1409.3548370624667,333.5282349298164,1.2325006080756211,0.8858084030496595,saturado,False
1000.0,1409.3548370624667,467.03063362523835,1.2982245103570444,0.733686321142503,saturado,False
1250.0,1409.3548370624667,607.4320842319414,1.3695458016679745,0.6295789786777028,saturado,False
1409.3548370624667,1409.3548370624667,700.0000000000002,1.4176593824823749,0.5787637368942261,saturado,True
1500.0,1409.3548370624667,700.0,1.4176593824823747,0.5836109710164958,sub-saturado,False
1750.0,1409.3548370624667,700.0,1.4176593824823747,0.5987858738053018,sub-saturado,False
2000.0,1409.3548370624667,700.0,1.4176593824823747,0.6163998592793117,sub-saturado,False
2250.0,1409.3548370624667,700.0,1.4176593824823747,0.6362435756895242,sub-saturado,False
2500.0,1409.3548370624667,700.0,1.4176593824823747,0.6581574451000224,sub-saturado,False
2750.0,1409.3548370624667,700.0,1.4176593824823747,0.6820152122622337,sub-saturado,False
3000.0,1409.3548370624667,700.0,1.4176593824823747,0.7077131153077547,sub-saturado,False
3250.0,1409.3548370624667,700.0,1.4176593824823747,0.7351624750154736,sub-saturado,False
3500.0,1409.3548370624667,700.0,1.4176593824823747,0.7642844664528842,sub-saturado,False
3750.0,1409.3548370624667,700.0,1.4176593824823747,0.79500634250746,sub-saturado,False
4000.0,1409.3548370624667,700.0,1.4176593824823747,0.8272586590922459,sub-saturado,False
4250.0,1409.3548370624667,700.0,1.4176593824823747,0.8609732146065127,sub-saturado,False
4500.0,1409.3548370624667,700.0,1.4176593824823747,0.8960815145117627,sub-saturado,False
