P_psia,Rs_scfstb,Bo_rbblstb,mu_cp
3500​,264​,1.1253​,3.07​
3000​,264​,1.1301​,2.90​
2500​,264​,1.1353​,2.73​
2000​,264​,1.1409​,2.56​
1500​,264​,1.1471​,2.39​
1430​,264​,1.1480​,2.37​
1200​,241​,1.1398​,2.43​
1000​,211​,1.1277​,2.56​
500​,111​,1.0840​,3.26​
14.7​,0​,1.0566​,5.05​
